asin,Manufacturer,Processor Type,Hard Drive Size,Hard Disk Description,RAM Size,url
B08BWQF2B9,Hp,Core i,256 GB,SSD,8 GB,https://www.amazon.co.uk/HP-ELITEBOOK-Touchscreen-WINDOWS-Renewed/dp/B08BWQF2B9/ref=sr_1_12?dib=eyJ2IjoiMSJ9.-4WEjr5OW6-3xMD2AM0VrqpQJOGS0Eh4MUdaWhdz_duE5gWEH2CQe3O9lUU2Z9A6rxI9OOYeDOqb7pjyOG9lXWmJeAUeYuLxszd_lQrB334E5f06uQe4lz6uqqjz3xp2sX3q7DPeyj4iCh-VhoWZAcqI1KzUkM5EuSYbyy00tqPJGey81G77ddIxxggewOt6_kZzC7eRwNmbGyROpD1tqziPMhY9cJ1VXQGU9Vx7DWF_chhuF3hgLenti-f4zzSu6YCWd_4RiebEUpSJU8PvrSL7Z5-OElCUGMCvZgD0ypo.R7BBYrmAVYX5SHF--0pjaS5_soXxfxD0yzzxznTCn0o&dib_tag=se&qid=1746427297&s=computers&sr=1-12
B07GCRHS5V,Dell,Aures,256 GB,SSD,8 GB,https://www.amazon.co.uk/Dell-Latitude-i5-6300U-Windows-Renewed/dp/B07GCRHS5V/ref=sr_1_14?dib=eyJ2IjoiMSJ9.-4WEjr5OW6-3xMD2AM0VrqpQJOGS0Eh4MUdaWhdz_duE5gWEH2CQe3O9lUU2Z9A6rxI9OOYeDOqb7pjyOG9lXWmJeAUeYuLxszd_lQrB334E5f06uQe4lz6uqqjz3xp2sX3q7DPeyj4iCh-VhoWZAcqI1KzUkM5EuSYbyy00tqPJGey81G77ddIxxggewOt6_kZzC7eRwNmbGyROpD1tqziPMhY9cJ1VXQGU9Vx7DWF_chhuF3hgLenti-f4zzSu6YCWd_4RiebEUpSJU8PvrSL7Z5-OElCUGMCvZgD0ypo.R7BBYrmAVYX5SHF--0pjaS5_soXxfxD0yzzxznTCn0o&dib_tag=se&qid=1746427297&s=computers&sr=1-14
B08R2WTNQ6,Apple,Aures,512 GB,SSD,8 GB,https://www.amazon.co.uk/Apple-MacBook-Chip-13-inch-512GB/dp/B08R2WTNQ6/ref=sr_1_15?dib=eyJ2IjoiMSJ9.-4WEjr5OW6-3xMD2AM0VrqpQJOGS0Eh4MUdaWhdz_duE5gWEH2CQe3O9lUU2Z9A6rxI9OOYeDOqb7pjyOG9lXWmJeAUeYuLxszd_lQrB334E5f06uQe4lz6uqqjz3xp2sX3q7DPeyj4iCh-VhoWZAcqI1KzUkM5EuSYbyy00tqPJGey81G77ddIxxggewOt6_kZzC7eRwNmbGyROpD1tqziPMhY9cJ1VXQGU9Vx7DWF_chhuF3hgLenti-f4zzSu6YCWd_4RiebEUpSJU8PvrSL7Z5-OElCUGMCvZgD0ypo.R7BBYrmAVYX5SHF--0pjaS5_soXxfxD0yzzxznTCn0o&dib_tag=se&qid=1746427297&s=computers&sr=1-15
B082P7XWMN,Lenovo,Core i,256.00,SSD,8 GB,https://www.amazon.co.uk/Lenovo-ThinkPad-X260-12-5-Ultrabook/dp/B082P7XWMN/ref=sr_1_17?dib=eyJ2IjoiMSJ9.-4WEjr5OW6-3xMD2AM0VrqpQJOGS0Eh4MUdaWhdz_duE5gWEH2CQe3O9lUU2Z9A6rxI9OOYeDOqb7pjyOG9lXWmJeAUeYuLxszd_lQrB334E5f06uQe4lz6uqqjz3xp2sX3q7DPeyj4iCh-VhoWZAcqI1KzUkM5EuSYbyy00tqPJGey81G77ddIxxggewOt6_kZzC7eRwNmbGyROpD1tqziPMhY9cJ1VXQGU9Vx7DWF_chhuF3hgLenti-f4zzSu6YCWd_4RiebEUpSJU8PvrSL7Z5-OElCUGMCvZgD0ypo.R7BBYrmAVYX5SHF--0pjaS5_soXxfxD0yzzxznTCn0o&dib_tag=se&qid=1746427297&s=computers&sr=1-17
B0D6YLBBZL,Lenovo,Aures,1 TB,SSD,32 GB,https://www.amazon.co.uk/Lenovo-ThinkPad-T14s-Gen-6-2024/dp/B0D6YLBBZL/ref=sr_1_18?dib=eyJ2IjoiMSJ9.-4WEjr5OW6-3xMD2AM0VrqpQJOGS0Eh4MUdaWhdz_duE5gWEH2CQe3O9lUU2Z9A6rxI9OOYeDOqb7pjyOG9lXWmJeAUeYuLxszd_lQrB334E5f06uQe4lz6uqqjz3xp2sX3q7DPeyj4iCh-VhoWZAcqI1KzUkM5EuSYbyy00tqPJGey81G77ddIxxggewOt6_kZzC7eRwNmbGyROpD1tqziPMhY9cJ1VXQGU9Vx7DWF_chhuF3hgLenti-f4zzSu6YCWd_4RiebEUpSJU8PvrSL7Z5-OElCUGMCvZgD0ypo.R7BBYrmAVYX5SHF--0pjaS5_soXxfxD0yzzxznTCn0o&dib_tag=se&qid=1746427297&s=computers&sr=1-18
B07JYT4PZR,Dell,Core i,256 GB,SSD,8 GB,https://www.amazon.co.uk/Dell-Latitude-Bluetooth-Certified-Refurbished/dp/B07JYT4PZR/ref=sr_1_20?dib=eyJ2IjoiMSJ9.-4WEjr5OW6-3xMD2AM0VrqpQJOGS0Eh4MUdaWhdz_duE5gWEH2CQe3O9lUU2Z9A6rxI9OOYeDOqb7pjyOG9lXWmJeAUeYuLxszd_lQrB334E5f06uQe4lz6uqqjz3xp2sX3q7DPeyj4iCh-VhoWZAcqI1KzUkM5EuSYbyy00tqPJGey81G77ddIxxggewOt6_kZzC7eRwNmbGyROpD1tqziPMhY9cJ1VXQGU9Vx7DWF_chhuF3hgLenti-f4zzSu6YCWd_4RiebEUpSJU8PvrSL7Z5-OElCUGMCvZgD0ypo.R7BBYrmAVYX5SHF--0pjaS5_soXxfxD0yzzxznTCn0o&dib_tag=se&qid=1746427297&s=computers&sr=1-20
B0BQRRHSDX,Samsung,Core i,512 GB,SSD,8 GB,https://www.amazon.co.uk/Samsung-Galaxy-Processor-Storage-Graphite/dp/B0BQRRHSDX/ref=sr_1_22?dib=eyJ2IjoiMSJ9.-4WEjr5OW6-3xMD2AM0VrqpQJOGS0Eh4MUdaWhdz_duE5gWEH2CQe3O9lUU2Z9A6rxI9OOYeDOqb7pjyOG9lXWmJeAUeYuLxszd_lQrB334E5f06uQe4lz6uqqjz3xp2sX3q7DPeyj4iCh-VhoWZAcqI1KzUkM5EuSYbyy00tqPJGey81G77ddIxxggewOt6_kZzC7eRwNmbGyROpD1tqziPMhY9cJ1VXQGU9Vx7DWF_chhuF3hgLenti-f4zzSu6YCWd_4RiebEUpSJU8PvrSL7Z5-OElCUGMCvZgD0ypo.R7BBYrmAVYX5SHF--0pjaS5_soXxfxD0yzzxznTCn0o&dib_tag=se&qid=1746427297&s=computers&sr=1-22
B0CKN9M1S8,Autre,Aures,512 GB,SSD,8 GB,https://www.amazon.co.uk/FUNYET-Computer-Notebook-Processors-Supports/dp/B0CKN9M1S8/ref=sr_1_23?dib=eyJ2IjoiMSJ9.-4WEjr5OW6-3xMD2AM0VrqpQJOGS0Eh4MUdaWhdz_duE5gWEH2CQe3O9lUU2Z9A6rxI9OOYeDOqb7pjyOG9lXWmJeAUeYuLxszd_lQrB334E5f06uQe4lz6uqqjz3xp2sX3q7DPeyj4iCh-VhoWZAcqI1KzUkM5EuSYbyy00tqPJGey81G77ddIxxggewOt6_kZzC7eRwNmbGyROpD1tqziPMhY9cJ1VXQGU9Vx7DWF_chhuF3hgLenti-f4zzSu6YCWd_4RiebEUpSJU8PvrSL7Z5-OElCUGMCvZgD0ypo.R7BBYrmAVYX5SHF--0pjaS5_soXxfxD0yzzxznTCn0o&dib_tag=se&qid=1746427297&s=computers&sr=1-23
B08Q3XHP3M,Hp,Core i,512 GB,SSD,8 GB,https://www.amazon.co.uk/HP-15s-fq2016sa-pixels-Intel%C2%AE-Windows/dp/B08Q3XHP3M/ref=sr_1_29?dib=eyJ2IjoiMSJ9.r6VYoo8q_1lcE6B_MNPq-xPavXS9eJP54ciEiohsSodagaSInsIulEeeTrRaDuhaVQqUplbRav2ui1cERG69YtFODAEao4hDbY1DCHV4b7pvCpXXzBVChhizm9pRhf5udoUxmaqMaGE1XLzmdy5WnOag_EZHQ3szvCX3ijeAzwMXFJI-H2kQ2-WwqQ82ps5yY2HQ1kIhK79_v93iUjKIK3w-3uOgsQ_Odf7EsbcVYPxHh2H1W7eJoWKp2fua1HnUz3diQZ2jMo4e-OnyUGjBEpwcfc8ijSWVWRcEEVhsALE.TDsAafAJdVnUMy8LRmjYfKSMtuFuTRfXDnrSSjx69jo&dib_tag=se&qid=1746427300&s=computers&sr=1-29
B0BQRS5RFG,Samsung,Core i,256 GB,SSD,8 GB,https://www.amazon.co.uk/Samsung-Galaxy-Processor-Storage-Graphite/dp/B0BQRS5RFG/ref=sr_1_30?dib=eyJ2IjoiMSJ9.r6VYoo8q_1lcE6B_MNPq-xPavXS9eJP54ciEiohsSodagaSInsIulEeeTrRaDuhaVQqUplbRav2ui1cERG69YtFODAEao4hDbY1DCHV4b7pvCpXXzBVChhizm9pRhf5udoUxmaqMaGE1XLzmdy5WnOag_EZHQ3szvCX3ijeAzwMXFJI-H2kQ2-WwqQ82ps5yY2HQ1kIhK79_v93iUjKIK3w-3uOgsQ_Odf7EsbcVYPxHh2H1W7eJoWKp2fua1HnUz3diQZ2jMo4e-OnyUGjBEpwcfc8ijSWVWRcEEVhsALE.TDsAafAJdVnUMy8LRmjYfKSMtuFuTRfXDnrSSjx69jo&dib_tag=se&qid=1746427300&s=computers&sr=1-30
B09T742JN3,Samsung,Aures,256 GB,SSD,256 GB,https://www.amazon.co.uk/Samsung-Galaxy-Windows-Storage-Version/dp/B09T742JN3/ref=sr_1_31?dib=eyJ2IjoiMSJ9.r6VYoo8q_1lcE6B_MNPq-xPavXS9eJP54ciEiohsSodagaSInsIulEeeTrRaDuhaVQqUplbRav2ui1cERG69YtFODAEao4hDbY1DCHV4b7pvCpXXzBVChhizm9pRhf5udoUxmaqMaGE1XLzmdy5WnOag_EZHQ3szvCX3ijeAzwMXFJI-H2kQ2-WwqQ82ps5yY2HQ1kIhK79_v93iUjKIK3w-3uOgsQ_Odf7EsbcVYPxHh2H1W7eJoWKp2fua1HnUz3diQZ2jMo4e-OnyUGjBEpwcfc8ijSWVWRcEEVhsALE.TDsAafAJdVnUMy8LRmjYfKSMtuFuTRfXDnrSSjx69jo&dib_tag=se&qid=1746427300&s=computers&sr=1-31
