asin,Manufacturer,Processor Type,Hard Drive Size,Hard Disk Description,RAM Size,url
B00AG5O4EW,Hp,Core i,500 GB,HDD,4 GB,https://www.amazon.co.uk/HP-EliteBook-Notebook-Processor-Downgrade/dp/B00AG5O4EW/ref=sr_1_227?dib=eyJ2IjoiMSJ9.-MioFZxAC1PowiHUxeYpYMXUcBJuEX1BQjfx2p2py9SPERhSHnC-waqhvX4UAOey_XOOsnxQWacufxP4SAMunuKlJ-ofyD2Hr1l_E9pO-rcB4k7nJJpiA9bAfKJBKcSmq_fq5A7EW8tcEkxtjbmatM7y70Dd3dguXw2e6KOZxQmh7Qzy8c3dF4hyvc1yoJR-GFiJ2uB45tVnfDL1lhfF2Uf5SbGVxBX4H4qS697OksCtAO6EbAhOhX4mpt6B35BwYYRd6l2emGg8HqNmtFcFt1Nt8CqiB_SujQ13PO5VgaY.gjwO-_zdeAaP9iAHm4ABvuzEz6hGFx8Gm_DnojQPBE0&dib_tag=se&qid=1746427339&s=computers&sr=1-227
B0B649XH7K,Dell,Core i,1 TB,SSD,16 GB,https://www.amazon.co.uk/Dell-Inspiron-i7-12700H-Keyboard-Fingerprint/dp/B0B649XH7K/ref=sr_1_228?dib=eyJ2IjoiMSJ9.-MioFZxAC1PowiHUxeYpYMXUcBJuEX1BQjfx2p2py9SPERhSHnC-waqhvX4UAOey_XOOsnxQWacufxP4SAMunuKlJ-ofyD2Hr1l_E9pO-rcB4k7nJJpiA9bAfKJBKcSmq_fq5A7EW8tcEkxtjbmatM7y70Dd3dguXw2e6KOZxQmh7Qzy8c3dF4hyvc1yoJR-GFiJ2uB45tVnfDL1lhfF2Uf5SbGVxBX4H4qS697OksCtAO6EbAhOhX4mpt6B35BwYYRd6l2emGg8HqNmtFcFt1Nt8CqiB_SujQ13PO5VgaY.gjwO-_zdeAaP9iAHm4ABvuzEz6hGFx8Gm_DnojQPBE0&dib_tag=se&qid=1746427339&s=computers&sr=1-228
B09SHVYQZR,Msi,Ryzen,1 TB,SSD,16 GB,https://www.amazon.co.uk/MSI-Notebook-A5EFK-047UK-R9-5900H-RX6700M/dp/B09SHVYQZR/ref=sr_1_229?dib=eyJ2IjoiMSJ9.-MioFZxAC1PowiHUxeYpYMXUcBJuEX1BQjfx2p2py9SPERhSHnC-waqhvX4UAOey_XOOsnxQWacufxP4SAMunuKlJ-ofyD2Hr1l_E9pO-rcB4k7nJJpiA9bAfKJBKcSmq_fq5A7EW8tcEkxtjbmatM7y70Dd3dguXw2e6KOZxQmh7Qzy8c3dF4hyvc1yoJR-GFiJ2uB45tVnfDL1lhfF2Uf5SbGVxBX4H4qS697OksCtAO6EbAhOhX4mpt6B35BwYYRd6l2emGg8HqNmtFcFt1Nt8CqiB_SujQ13PO5VgaY.gjwO-_zdeAaP9iAHm4ABvuzEz6hGFx8Gm_DnojQPBE0&dib_tag=se&qid=1746427339&s=computers&sr=1-229
B0BHN62224,Hp,Core i,512 GB,SSD,8 GB,https://www.amazon.co.uk/HP-Laptop-i7-1255U-512GB-Windows/dp/B0BHN62224/ref=sr_1_232?dib=eyJ2IjoiMSJ9.-MioFZxAC1PowiHUxeYpYMXUcBJuEX1BQjfx2p2py9SPERhSHnC-waqhvX4UAOey_XOOsnxQWacufxP4SAMunuKlJ-ofyD2Hr1l_E9pO-rcB4k7nJJpiA9bAfKJBKcSmq_fq5A7EW8tcEkxtjbmatM7y70Dd3dguXw2e6KOZxQmh7Qzy8c3dF4hyvc1yoJR-GFiJ2uB45tVnfDL1lhfF2Uf5SbGVxBX4H4qS697OksCtAO6EbAhOhX4mpt6B35BwYYRd6l2emGg8HqNmtFcFt1Nt8CqiB_SujQ13PO5VgaY.gjwO-_zdeAaP9iAHm4ABvuzEz6hGFx8Gm_DnojQPBE0&dib_tag=se&qid=1746427339&s=computers&sr=1-232
B0CJV41KZN,Acer,Ryzen,1 GB,SSD,8 GB,https://www.amazon.co.uk/acer-A315-24PT-R0UX-Touchscreen-Quad-Core-Processor/dp/B0CJV41KZN/ref=sr_1_234?dib=eyJ2IjoiMSJ9.-MioFZxAC1PowiHUxeYpYMXUcBJuEX1BQjfx2p2py9SPERhSHnC-waqhvX4UAOey_XOOsnxQWacufxP4SAMunuKlJ-ofyD2Hr1l_E9pO-rcB4k7nJJpiA9bAfKJBKcSmq_fq5A7EW8tcEkxtjbmatM7y70Dd3dguXw2e6KOZxQmh7Qzy8c3dF4hyvc1yoJR-GFiJ2uB45tVnfDL1lhfF2Uf5SbGVxBX4H4qS697OksCtAO6EbAhOhX4mpt6B35BwYYRd6l2emGg8HqNmtFcFt1Nt8CqiB_SujQ13PO5VgaY.gjwO-_zdeAaP9iAHm4ABvuzEz6hGFx8Gm_DnojQPBE0&dib_tag=se&qid=1746427339&s=computers&sr=1-234
B09SG6PSQV,Lenovo,Ryzen,512 GB,SSD,16 GB,https://www.amazon.co.uk/Lenovo-Yoga-WQXGA-touchscreen-Laptop/dp/B09SG6PSQV/ref=sr_1_235?dib=eyJ2IjoiMSJ9.-MioFZxAC1PowiHUxeYpYMXUcBJuEX1BQjfx2p2py9SPERhSHnC-waqhvX4UAOey_XOOsnxQWacufxP4SAMunuKlJ-ofyD2Hr1l_E9pO-rcB4k7nJJpiA9bAfKJBKcSmq_fq5A7EW8tcEkxtjbmatM7y70Dd3dguXw2e6KOZxQmh7Qzy8c3dF4hyvc1yoJR-GFiJ2uB45tVnfDL1lhfF2Uf5SbGVxBX4H4qS697OksCtAO6EbAhOhX4mpt6B35BwYYRd6l2emGg8HqNmtFcFt1Nt8CqiB_SujQ13PO5VgaY.gjwO-_zdeAaP9iAHm4ABvuzEz6hGFx8Gm_DnojQPBE0&dib_tag=se&qid=1746427339&s=computers&sr=1-235
B0D1YQ6TJ6,Lenovo,Core i,1 TB,SSD,24 GB,https://www.amazon.co.uk/Lenovo-V15-Display-i5-13420H-i7-1355U/dp/B0D1YQ6TJ6/ref=sr_1_236?dib=eyJ2IjoiMSJ9.-MioFZxAC1PowiHUxeYpYMXUcBJuEX1BQjfx2p2py9SPERhSHnC-waqhvX4UAOey_XOOsnxQWacufxP4SAMunuKlJ-ofyD2Hr1l_E9pO-rcB4k7nJJpiA9bAfKJBKcSmq_fq5A7EW8tcEkxtjbmatM7y70Dd3dguXw2e6KOZxQmh7Qzy8c3dF4hyvc1yoJR-GFiJ2uB45tVnfDL1lhfF2Uf5SbGVxBX4H4qS697OksCtAO6EbAhOhX4mpt6B35BwYYRd6l2emGg8HqNmtFcFt1Nt8CqiB_SujQ13PO5VgaY.gjwO-_zdeAaP9iAHm4ABvuzEz6hGFx8Gm_DnojQPBE0&dib_tag=se&qid=1746427339&s=computers&sr=1-236
B0B469RLP5,Hp,Core i,256 GB,SSD,8 GB,https://www.amazon.co.uk/HP-EliteBook-840-G7-Laptop/dp/B0B469RLP5/ref=sr_1_238?dib=eyJ2IjoiMSJ9.-MioFZxAC1PowiHUxeYpYMXUcBJuEX1BQjfx2p2py9SPERhSHnC-waqhvX4UAOey_XOOsnxQWacufxP4SAMunuKlJ-ofyD2Hr1l_E9pO-rcB4k7nJJpiA9bAfKJBKcSmq_fq5A7EW8tcEkxtjbmatM7y70Dd3dguXw2e6KOZxQmh7Qzy8c3dF4hyvc1yoJR-GFiJ2uB45tVnfDL1lhfF2Uf5SbGVxBX4H4qS697OksCtAO6EbAhOhX4mpt6B35BwYYRd6l2emGg8HqNmtFcFt1Nt8CqiB_SujQ13PO5VgaY.gjwO-_zdeAaP9iAHm4ABvuzEz6hGFx8Gm_DnojQPBE0&dib_tag=se&qid=1746427339&s=computers&sr=1-238
B091FS4R1J,Lenovo,Core i,256 GB,SSD,8 GB,https://www.amazon.co.uk/Lenovo-ThinkPad-T440p-i5-4200M-Professional/dp/B091FS4R1J/ref=sr_1_240?dib=eyJ2IjoiMSJ9.-MioFZxAC1PowiHUxeYpYMXUcBJuEX1BQjfx2p2py9SPERhSHnC-waqhvX4UAOey_XOOsnxQWacufxP4SAMunuKlJ-ofyD2Hr1l_E9pO-rcB4k7nJJpiA9bAfKJBKcSmq_fq5A7EW8tcEkxtjbmatM7y70Dd3dguXw2e6KOZxQmh7Qzy8c3dF4hyvc1yoJR-GFiJ2uB45tVnfDL1lhfF2Uf5SbGVxBX4H4qS697OksCtAO6EbAhOhX4mpt6B35BwYYRd6l2emGg8HqNmtFcFt1Nt8CqiB_SujQ13PO5VgaY.gjwO-_zdeAaP9iAHm4ABvuzEz6hGFx8Gm_DnojQPBE0&dib_tag=se&qid=1746427339&s=computers&sr=1-240
B08YZ1V9WP,Acer,Ryzen,1 TB,SSD,16 GB,https://www.amazon.co.uk/Acer-AN517-41-R0RZ-GeForce-Display-Keyboard/dp/B08YZ1V9WP/ref=sr_1_241?dib=eyJ2IjoiMSJ9.VTzTPeOoPmzhsL5bkU3ot8ARh5TzJ677iGj-Sg6xuFOm3pQ7LEbsmZB_TSJMR8ZU_YHXypyjh2xd92GPXB_L1RV7OhpaN33wlgDvlF-4OjZJ9pucI9cf1sPjVlnrtYSMN8fgfaiYpRaPDMtYGIBj_s1T2Bw3gxtnoz-frf8NgkLxdxck0kavEGcBlFi89CH0Q-gf-4x0nD3kyMkJztBbyKuknRdZ0UxgI86xz8KfD-DMT1JA625D7plBFrnTQVSK75IbeCgl9J1I5FwG90VMuLGPuVnp_QqJ5elzb7Yh350.uiBrlEgHsv0VonYqZKd4xbfMLQxI1x-4hRjyCAVw2dU&dib_tag=se&qid=1746427344&s=computers&sr=1-241
B08CKXY3YK,Asus,Core i,512 GB,SSD,8 GB,https://www.amazon.co.uk/ASUS-Vivobook-i7-1065G7-Windows-upgrade/dp/B08CKXY3YK/ref=sr_1_242?dib=eyJ2IjoiMSJ9.VTzTPeOoPmzhsL5bkU3ot8ARh5TzJ677iGj-Sg6xuFOm3pQ7LEbsmZB_TSJMR8ZU_YHXypyjh2xd92GPXB_L1RV7OhpaN33wlgDvlF-4OjZJ9pucI9cf1sPjVlnrtYSMN8fgfaiYpRaPDMtYGIBj_s1T2Bw3gxtnoz-frf8NgkLxdxck0kavEGcBlFi89CH0Q-gf-4x0nD3kyMkJztBbyKuknRdZ0UxgI86xz8KfD-DMT1JA625D7plBFrnTQVSK75IbeCgl9J1I5FwG90VMuLGPuVnp_QqJ5elzb7Yh350.uiBrlEgHsv0VonYqZKd4xbfMLQxI1x-4hRjyCAVw2dU&dib_tag=se&qid=1746427344&s=computers&sr=1-242
B09ZPJZVH8,Lenovo,Core i,1 TB,SSD,16 GB,https://www.amazon.co.uk/Lenovo-IdeaPad-Gaming-15-6-Laptop/dp/B09ZPJZVH8/ref=sr_1_243?dib=eyJ2IjoiMSJ9.VTzTPeOoPmzhsL5bkU3ot8ARh5TzJ677iGj-Sg6xuFOm3pQ7LEbsmZB_TSJMR8ZU_YHXypyjh2xd92GPXB_L1RV7OhpaN33wlgDvlF-4OjZJ9pucI9cf1sPjVlnrtYSMN8fgfaiYpRaPDMtYGIBj_s1T2Bw3gxtnoz-frf8NgkLxdxck0kavEGcBlFi89CH0Q-gf-4x0nD3kyMkJztBbyKuknRdZ0UxgI86xz8KfD-DMT1JA625D7plBFrnTQVSK75IbeCgl9J1I5FwG90VMuLGPuVnp_QqJ5elzb7Yh350.uiBrlEgHsv0VonYqZKd4xbfMLQxI1x-4hRjyCAVw2dU&dib_tag=se&qid=1746427344&s=computers&sr=1-243
B099RWHSKL,Hp,Core i,256 GB,SSD,8 GB,https://www.amazon.co.uk/HP-EliteBook-i5-1135G7-Windows-Laptop/dp/B099RWHSKL/ref=sr_1_244?dib=eyJ2IjoiMSJ9.VTzTPeOoPmzhsL5bkU3ot8ARh5TzJ677iGj-Sg6xuFOm3pQ7LEbsmZB_TSJMR8ZU_YHXypyjh2xd92GPXB_L1RV7OhpaN33wlgDvlF-4OjZJ9pucI9cf1sPjVlnrtYSMN8fgfaiYpRaPDMtYGIBj_s1T2Bw3gxtnoz-frf8NgkLxdxck0kavEGcBlFi89CH0Q-gf-4x0nD3kyMkJztBbyKuknRdZ0UxgI86xz8KfD-DMT1JA625D7plBFrnTQVSK75IbeCgl9J1I5FwG90VMuLGPuVnp_QqJ5elzb7Yh350.uiBrlEgHsv0VonYqZKd4xbfMLQxI1x-4hRjyCAVw2dU&dib_tag=se&qid=1746427344&s=computers&sr=1-244
B07V3JWMFY,Hp,Core i,256 GB,SSD,8192 MB,https://www.amazon.co.uk/HP-EliteBook-840-G6-Laptop/dp/B07V3JWMFY/ref=sr_1_245?dib=eyJ2IjoiMSJ9.VTzTPeOoPmzhsL5bkU3ot8ARh5TzJ677iGj-Sg6xuFOm3pQ7LEbsmZB_TSJMR8ZU_YHXypyjh2xd92GPXB_L1RV7OhpaN33wlgDvlF-4OjZJ9pucI9cf1sPjVlnrtYSMN8fgfaiYpRaPDMtYGIBj_s1T2Bw3gxtnoz-frf8NgkLxdxck0kavEGcBlFi89CH0Q-gf-4x0nD3kyMkJztBbyKuknRdZ0UxgI86xz8KfD-DMT1JA625D7plBFrnTQVSK75IbeCgl9J1I5FwG90VMuLGPuVnp_QqJ5elzb7Yh350.uiBrlEgHsv0VonYqZKd4xbfMLQxI1x-4hRjyCAVw2dU&dib_tag=se&qid=1746427344&s=computers&sr=1-245
B0D9R244KS,Lenovo,Aures,1 TB,SSD,32 GB,https://www.amazon.co.uk/Lenovo-V15-Business-Processor-Durability/dp/B0D9R244KS/ref=sr_1_246?dib=eyJ2IjoiMSJ9.VTzTPeOoPmzhsL5bkU3ot8ARh5TzJ677iGj-Sg6xuFOm3pQ7LEbsmZB_TSJMR8ZU_YHXypyjh2xd92GPXB_L1RV7OhpaN33wlgDvlF-4OjZJ9pucI9cf1sPjVlnrtYSMN8fgfaiYpRaPDMtYGIBj_s1T2Bw3gxtnoz-frf8NgkLxdxck0kavEGcBlFi89CH0Q-gf-4x0nD3kyMkJztBbyKuknRdZ0UxgI86xz8KfD-DMT1JA625D7plBFrnTQVSK75IbeCgl9J1I5FwG90VMuLGPuVnp_QqJ5elzb7Yh350.uiBrlEgHsv0VonYqZKd4xbfMLQxI1x-4hRjyCAVw2dU&dib_tag=se&qid=1746427344&s=computers&sr=1-246
B0D7MNFTQP,Acer,Aures,2 TB,SSD,8 GB,https://www.amazon.co.uk/acer-Chromebook-Touchscreen-Laptop-i3-N305/dp/B0D7MNFTQP/ref=sr_1_247?dib=eyJ2IjoiMSJ9.VTzTPeOoPmzhsL5bkU3ot8ARh5TzJ677iGj-Sg6xuFOm3pQ7LEbsmZB_TSJMR8ZU_YHXypyjh2xd92GPXB_L1RV7OhpaN33wlgDvlF-4OjZJ9pucI9cf1sPjVlnrtYSMN8fgfaiYpRaPDMtYGIBj_s1T2Bw3gxtnoz-frf8NgkLxdxck0kavEGcBlFi89CH0Q-gf-4x0nD3kyMkJztBbyKuknRdZ0UxgI86xz8KfD-DMT1JA625D7plBFrnTQVSK75IbeCgl9J1I5FwG90VMuLGPuVnp_QqJ5elzb7Yh350.uiBrlEgHsv0VonYqZKd4xbfMLQxI1x-4hRjyCAVw2dU&dib_tag=se&qid=1746427344&s=computers&sr=1-247
B07VSRJRGS,Autre,Core i,8 GB,SSD,8192 MB,https://www.amazon.co.uk/HP-ProDesk-DVD-Writer-Windows-Graphics/dp/B07VSRJRGS/ref=sr_1_248?dib=eyJ2IjoiMSJ9.VTzTPeOoPmzhsL5bkU3ot8ARh5TzJ677iGj-Sg6xuFOm3pQ7LEbsmZB_TSJMR8ZU_YHXypyjh2xd92GPXB_L1RV7OhpaN33wlgDvlF-4OjZJ9pucI9cf1sPjVlnrtYSMN8fgfaiYpRaPDMtYGIBj_s1T2Bw3gxtnoz-frf8NgkLxdxck0kavEGcBlFi89CH0Q-gf-4x0nD3kyMkJztBbyKuknRdZ0UxgI86xz8KfD-DMT1JA625D7plBFrnTQVSK75IbeCgl9J1I5FwG90VMuLGPuVnp_QqJ5elzb7Yh350.uiBrlEgHsv0VonYqZKd4xbfMLQxI1x-4hRjyCAVw2dU&dib_tag=se&qid=1746427344&s=computers&sr=1-248
B00QX4Y6UW,Dell,Core i,3.2E+2 GB,HDD,4 GB,https://www.amazon.co.uk/Dell-Latitude-14-Inch-Windows-Professional/dp/B00QX4Y6UW/ref=sr_1_249?dib=eyJ2IjoiMSJ9.VTzTPeOoPmzhsL5bkU3ot8ARh5TzJ677iGj-Sg6xuFOm3pQ7LEbsmZB_TSJMR8ZU_YHXypyjh2xd92GPXB_L1RV7OhpaN33wlgDvlF-4OjZJ9pucI9cf1sPjVlnrtYSMN8fgfaiYpRaPDMtYGIBj_s1T2Bw3gxtnoz-frf8NgkLxdxck0kavEGcBlFi89CH0Q-gf-4x0nD3kyMkJztBbyKuknRdZ0UxgI86xz8KfD-DMT1JA625D7plBFrnTQVSK75IbeCgl9J1I5FwG90VMuLGPuVnp_QqJ5elzb7Yh350.uiBrlEgHsv0VonYqZKd4xbfMLQxI1x-4hRjyCAVw2dU&dib_tag=se&qid=1746427344&s=computers&sr=1-249
B00KU2JTR8,Hp,Aures,16 GB,SSD,4 GB,https://www.amazon.co.uk/HP-14-q050na-14-inch-Chromebook-White/dp/B00KU2JTR8/ref=sr_1_250?dib=eyJ2IjoiMSJ9.VTzTPeOoPmzhsL5bkU3ot8ARh5TzJ677iGj-Sg6xuFOm3pQ7LEbsmZB_TSJMR8ZU_YHXypyjh2xd92GPXB_L1RV7OhpaN33wlgDvlF-4OjZJ9pucI9cf1sPjVlnrtYSMN8fgfaiYpRaPDMtYGIBj_s1T2Bw3gxtnoz-frf8NgkLxdxck0kavEGcBlFi89CH0Q-gf-4x0nD3kyMkJztBbyKuknRdZ0UxgI86xz8KfD-DMT1JA625D7plBFrnTQVSK75IbeCgl9J1I5FwG90VMuLGPuVnp_QqJ5elzb7Yh350.uiBrlEgHsv0VonYqZKd4xbfMLQxI1x-4hRjyCAVw2dU&dib_tag=se&qid=1746427344&s=computers&sr=1-250
B0995RN7MK,Lenovo,Ryzen,512 GB,SSD,16 GB,https://www.amazon.co.uk/Lenovo-IdeaPad-Processor-Storage-Windows/dp/B0995RN7MK/ref=sr_1_251?dib=eyJ2IjoiMSJ9.VTzTPeOoPmzhsL5bkU3ot8ARh5TzJ677iGj-Sg6xuFOm3pQ7LEbsmZB_TSJMR8ZU_YHXypyjh2xd92GPXB_L1RV7OhpaN33wlgDvlF-4OjZJ9pucI9cf1sPjVlnrtYSMN8fgfaiYpRaPDMtYGIBj_s1T2Bw3gxtnoz-frf8NgkLxdxck0kavEGcBlFi89CH0Q-gf-4x0nD3kyMkJztBbyKuknRdZ0UxgI86xz8KfD-DMT1JA625D7plBFrnTQVSK75IbeCgl9J1I5FwG90VMuLGPuVnp_QqJ5elzb7Yh350.uiBrlEgHsv0VonYqZKd4xbfMLQxI1x-4hRjyCAVw2dU&dib_tag=se&qid=1746427344&s=computers&sr=1-251
B0CN9NMCT6,Dell,Core i,1 TB,SSD,16 GB,https://www.amazon.co.uk/Dell-Inspiron-15-Microsoft-Quad-Core/dp/B0CN9NMCT6/ref=sr_1_252?dib=eyJ2IjoiMSJ9.VTzTPeOoPmzhsL5bkU3ot8ARh5TzJ677iGj-Sg6xuFOm3pQ7LEbsmZB_TSJMR8ZU_YHXypyjh2xd92GPXB_L1RV7OhpaN33wlgDvlF-4OjZJ9pucI9cf1sPjVlnrtYSMN8fgfaiYpRaPDMtYGIBj_s1T2Bw3gxtnoz-frf8NgkLxdxck0kavEGcBlFi89CH0Q-gf-4x0nD3kyMkJztBbyKuknRdZ0UxgI86xz8KfD-DMT1JA625D7plBFrnTQVSK75IbeCgl9J1I5FwG90VMuLGPuVnp_QqJ5elzb7Yh350.uiBrlEgHsv0VonYqZKd4xbfMLQxI1x-4hRjyCAVw2dU&dib_tag=se&qid=1746427344&s=computers&sr=1-252
B07KKK4SLQ,Lenovo,Ryzen,256 GB,SSD,8 GB,https://www.amazon.co.uk/Lenovo-V330-14ARR-81B1001EUK-Processor-Display/dp/B07KKK4SLQ/ref=sr_1_253?dib=eyJ2IjoiMSJ9.VTzTPeOoPmzhsL5bkU3ot8ARh5TzJ677iGj-Sg6xuFOm3pQ7LEbsmZB_TSJMR8ZU_YHXypyjh2xd92GPXB_L1RV7OhpaN33wlgDvlF-4OjZJ9pucI9cf1sPjVlnrtYSMN8fgfaiYpRaPDMtYGIBj_s1T2Bw3gxtnoz-frf8NgkLxdxck0kavEGcBlFi89CH0Q-gf-4x0nD3kyMkJztBbyKuknRdZ0UxgI86xz8KfD-DMT1JA625D7plBFrnTQVSK75IbeCgl9J1I5FwG90VMuLGPuVnp_QqJ5elzb7Yh350.uiBrlEgHsv0VonYqZKd4xbfMLQxI1x-4hRjyCAVw2dU&dib_tag=se&qid=1746427344&s=computers&sr=1-253
B08WJH5YGG,Hp,Core i,256 GB,SSD,8 GB,https://www.amazon.co.uk/HP-ProBook-440-Touch-Laptop/dp/B08WJH5YGG/ref=sr_1_255?dib=eyJ2IjoiMSJ9.VTzTPeOoPmzhsL5bkU3ot8ARh5TzJ677iGj-Sg6xuFOm3pQ7LEbsmZB_TSJMR8ZU_YHXypyjh2xd92GPXB_L1RV7OhpaN33wlgDvlF-4OjZJ9pucI9cf1sPjVlnrtYSMN8fgfaiYpRaPDMtYGIBj_s1T2Bw3gxtnoz-frf8NgkLxdxck0kavEGcBlFi89CH0Q-gf-4x0nD3kyMkJztBbyKuknRdZ0UxgI86xz8KfD-DMT1JA625D7plBFrnTQVSK75IbeCgl9J1I5FwG90VMuLGPuVnp_QqJ5elzb7Yh350.uiBrlEgHsv0VonYqZKd4xbfMLQxI1x-4hRjyCAVw2dU&dib_tag=se&qid=1746427344&s=computers&sr=1-255
B0D1W143XC,Dell,Core i,1 TB,SSD,32 GB,https://www.amazon.co.uk/Dell-Inspiron-Students-Business-TouchScreen/dp/B0D1W143XC/ref=sr_1_256?dib=eyJ2IjoiMSJ9.VTzTPeOoPmzhsL5bkU3ot8ARh5TzJ677iGj-Sg6xuFOm3pQ7LEbsmZB_TSJMR8ZU_YHXypyjh2xd92GPXB_L1RV7OhpaN33wlgDvlF-4OjZJ9pucI9cf1sPjVlnrtYSMN8fgfaiYpRaPDMtYGIBj_s1T2Bw3gxtnoz-frf8NgkLxdxck0kavEGcBlFi89CH0Q-gf-4x0nD3kyMkJztBbyKuknRdZ0UxgI86xz8KfD-DMT1JA625D7plBFrnTQVSK75IbeCgl9J1I5FwG90VMuLGPuVnp_QqJ5elzb7Yh350.uiBrlEgHsv0VonYqZKd4xbfMLQxI1x-4hRjyCAVw2dU&dib_tag=se&qid=1746427344&s=computers&sr=1-256
B098TW3977,Lenovo,Core i,256 GB,SSD,8 GB,https://www.amazon.co.uk/Lenovo-ThinkPad-20W00090US-Rugged-Notebook/dp/B098TW3977/ref=sr_1_259?dib=eyJ2IjoiMSJ9.VTzTPeOoPmzhsL5bkU3ot8ARh5TzJ677iGj-Sg6xuFOm3pQ7LEbsmZB_TSJMR8ZU_YHXypyjh2xd92GPXB_L1RV7OhpaN33wlgDvlF-4OjZJ9pucI9cf1sPjVlnrtYSMN8fgfaiYpRaPDMtYGIBj_s1T2Bw3gxtnoz-frf8NgkLxdxck0kavEGcBlFi89CH0Q-gf-4x0nD3kyMkJztBbyKuknRdZ0UxgI86xz8KfD-DMT1JA625D7plBFrnTQVSK75IbeCgl9J1I5FwG90VMuLGPuVnp_QqJ5elzb7Yh350.uiBrlEgHsv0VonYqZKd4xbfMLQxI1x-4hRjyCAVw2dU&dib_tag=se&qid=1746427344&s=computers&sr=1-259
B0968Q8DN5,Hp,Core i,512 GB,SSD,16 GB,https://www.amazon.co.uk/HP-Laptop-15-es0009sa-Screen-Silver/dp/B0968Q8DN5/ref=sr_1_263?dib=eyJ2IjoiMSJ9.VTzTPeOoPmzhsL5bkU3ot8ARh5TzJ677iGj-Sg6xuFOm3pQ7LEbsmZB_TSJMR8ZU_YHXypyjh2xd92GPXB_L1RV7OhpaN33wlgDvlF-4OjZJ9pucI9cf1sPjVlnrtYSMN8fgfaiYpRaPDMtYGIBj_s1T2Bw3gxtnoz-frf8NgkLxdxck0kavEGcBlFi89CH0Q-gf-4x0nD3kyMkJztBbyKuknRdZ0UxgI86xz8KfD-DMT1JA625D7plBFrnTQVSK75IbeCgl9J1I5FwG90VMuLGPuVnp_QqJ5elzb7Yh350.uiBrlEgHsv0VonYqZKd4xbfMLQxI1x-4hRjyCAVw2dU&dib_tag=se&qid=1746427344&s=computers&sr=1-263
B082HGP8YJ,Hp,Core i,512 GB,SSD,8 GB,https://www.amazon.co.uk/HP-Spectre-13-3-Inch-Touch-Screen-Convertible/dp/B082HGP8YJ/ref=sr_1_264?dib=eyJ2IjoiMSJ9.VTzTPeOoPmzhsL5bkU3ot8ARh5TzJ677iGj-Sg6xuFOm3pQ7LEbsmZB_TSJMR8ZU_YHXypyjh2xd92GPXB_L1RV7OhpaN33wlgDvlF-4OjZJ9pucI9cf1sPjVlnrtYSMN8fgfaiYpRaPDMtYGIBj_s1T2Bw3gxtnoz-frf8NgkLxdxck0kavEGcBlFi89CH0Q-gf-4x0nD3kyMkJztBbyKuknRdZ0UxgI86xz8KfD-DMT1JA625D7plBFrnTQVSK75IbeCgl9J1I5FwG90VMuLGPuVnp_QqJ5elzb7Yh350.uiBrlEgHsv0VonYqZKd4xbfMLQxI1x-4hRjyCAVw2dU&dib_tag=se&qid=1746427344&s=computers&sr=1-264
B0D4R874R9,Lenovo,Core i,2 TB,SSD,40 GB,https://www.amazon.co.uk/Lenovo-ThinkBook-15-Thunderbolt-Fingerprint/dp/B0D4R874R9/ref=sr_1_265?dib=eyJ2IjoiMSJ9.pAFHJX9Y5aX2-ysBdEYon207yfLdv3QcRGkZ7wbBRnrVmTQyWbVxPjfWQ95KKVkWBvYXCR-vW8Jomc6M2rLZ-Ee85dGWUEyO5wdfmL44d2ZwfhFFDvg0iPWVte8p0ZBGlNZhcPiv2SonEXz0aGIX-AMLQjplvBe4oSt9ytqdvc3ZVI_bW-moLolDii9JczOGK_Rfz67DFYUY3XUqgadbsREpxBcrcNpecW7hk3U2WtdG9U89KpdeYI4TYLA-PIGHtvn1VqMC3nV0En13FOgWMwki8bBysngZ3RuFelmR_WM.fdgTqB0WE6Q5Dozj1DuGDd6nn12XOYb69wtOEiHp_aU&dib_tag=se&qid=1746427348&s=computers&sr=1-265
B0CL6QD2LY,Lenovo,Aures,64 GB,eMMC,4 GB,https://www.amazon.co.uk/Lenovo-Chromebook-Touchscreen-2023-14inch-Display/dp/B0CL6QD2LY/ref=sr_1_266?dib=eyJ2IjoiMSJ9.pAFHJX9Y5aX2-ysBdEYon207yfLdv3QcRGkZ7wbBRnrVmTQyWbVxPjfWQ95KKVkWBvYXCR-vW8Jomc6M2rLZ-Ee85dGWUEyO5wdfmL44d2ZwfhFFDvg0iPWVte8p0ZBGlNZhcPiv2SonEXz0aGIX-AMLQjplvBe4oSt9ytqdvc3ZVI_bW-moLolDii9JczOGK_Rfz67DFYUY3XUqgadbsREpxBcrcNpecW7hk3U2WtdG9U89KpdeYI4TYLA-PIGHtvn1VqMC3nV0En13FOgWMwki8bBysngZ3RuFelmR_WM.fdgTqB0WE6Q5Dozj1DuGDd6nn12XOYb69wtOEiHp_aU&dib_tag=se&qid=1746427348&s=computers&sr=1-266
