asin,nombre_avis,prix,page,note,url,titre
B09DTBM4FF,2,"£2,254.29",124,4.7,https://www.amazon.co.uk/Lenovo-ThinkPad-P15-Gen-Fingerprint/dp/B09DTBM4FF/ref=sr_1_2959?dib=eyJ2IjoiMSJ9.I7gdX_VjUDrWWGboC7rmkQDiOxWp-9AYYDc1-bBmatdL3JOREgvQGr1sawFFKVWC12Ipb7m5PLgouv78kuVT8GRj7tHodvaYto0Lpo1iP7bDG3SswF2tALhGYRs01sdyQKbhH6j1svoQAvkHlYmzhH2--EqBa6uuVP1LlyLpIod5GXksNOh1-OHZ7uG6ZwPTTAxICptAMBNjIsuQp5VQZtI2qF6MUV_Jfll0WgwDnRha26eZWnSzFUYD_RGl1vxCEdXhJw91Y1go7Jp_p8aJ72zPdqa6J-Rf75biEGXLT9E.oUHHLFGVds_OKcANX2UMBU9ytNFrZEeGNHHzKg64gsw&dib_tag=se&qid=1746427929&s=computers&sr=1-2959,"Lenovo ThinkPad P15 Gen 2 Intel Core i7-11800H, 15.6"" FHD (1920x1080) IPS 500nits, 32GB RAM, 1TB SSD, NVIDIA RTX A2000 4GB, Backlit KYB, Fingerprint Reader, Win10Pro"
B09DKHYMBS,19,£849.41,124,3.6,https://www.amazon.co.uk/Newest-Acer-Aspire-i3-1115G4-Windows/dp/B09DKHYMBS/ref=sr_1_2961?dib=eyJ2IjoiMSJ9.I7gdX_VjUDrWWGboC7rmkQDiOxWp-9AYYDc1-bBmatdL3JOREgvQGr1sawFFKVWC12Ipb7m5PLgouv78kuVT8GRj7tHodvaYto0Lpo1iP7bDG3SswF2tALhGYRs01sdyQKbhH6j1svoQAvkHlYmzhH2--EqBa6uuVP1LlyLpIod5GXksNOh1-OHZ7uG6ZwPTTAxICptAMBNjIsuQp5VQZtI2qF6MUV_Jfll0WgwDnRha26eZWnSzFUYD_RGl1vxCEdXhJw91Y1go7Jp_p8aJ72zPdqa6J-Rf75biEGXLT9E.oUHHLFGVds_OKcANX2UMBU9ytNFrZEeGNHHzKg64gsw&dib_tag=se&qid=1746427929&s=computers&sr=1-2961,"Acer 2021 Aspire 5 15.6"" FHD Laptop, Intel Core i3-1115G4 (up to 4.1GHz), 4GB RAM 128GB NVMe SSD, WiFi 6 USB-A&C Webcam HDMI, Windows 10 S (12GB RAM | 256GB NVMe SSD)"
B09D8RQTWY,6,£769.61,124,4.2,https://www.amazon.co.uk/Lenovo-Ideapad-Laptop-Windows-82KU00AAUS/dp/B09D8RQTWY/ref=sr_1_2968?dib=eyJ2IjoiMSJ9.I7gdX_VjUDrWWGboC7rmkQDiOxWp-9AYYDc1-bBmatdL3JOREgvQGr1sawFFKVWC12Ipb7m5PLgouv78kuVT8GRj7tHodvaYto0Lpo1iP7bDG3SswF2tALhGYRs01sdyQKbhH6j1svoQAvkHlYmzhH2--EqBa6uuVP1LlyLpIod5GXksNOh1-OHZ7uG6ZwPTTAxICptAMBNjIsuQp5VQZtI2qF6MUV_Jfll0WgwDnRha26eZWnSzFUYD_RGl1vxCEdXhJw91Y1go7Jp_p8aJ72zPdqa6J-Rf75biEGXLT9E.oUHHLFGVds_OKcANX2UMBU9ytNFrZEeGNHHzKg64gsw&dib_tag=se&qid=1746427929&s=computers&sr=1-2968,"Lenovo Ideapad 3 15 Laptop, 15.6"", AMD Ryzen 5 5500U, 8GB RAM, 256GB SSD, Windows 10 Home, 82KU00AAUS"
B09D2ZYS5N,6,"£1,176.58",124,3.1,https://www.amazon.co.uk/Lenovo-15-6-inch-Touchscreen-Fingerprint-81TD0078US/dp/B09D2ZYS5N/ref=sr_1_2970?dib=eyJ2IjoiMSJ9.I7gdX_VjUDrWWGboC7rmkQDiOxWp-9AYYDc1-bBmatdL3JOREgvQGr1sawFFKVWC12Ipb7m5PLgouv78kuVT8GRj7tHodvaYto0Lpo1iP7bDG3SswF2tALhGYRs01sdyQKbhH6j1svoQAvkHlYmzhH2--EqBa6uuVP1LlyLpIod5GXksNOh1-OHZ7uG6ZwPTTAxICptAMBNjIsuQp5VQZtI2qF6MUV_Jfll0WgwDnRha26eZWnSzFUYD_RGl1vxCEdXhJw91Y1go7Jp_p8aJ72zPdqa6J-Rf75biEGXLT9E.oUHHLFGVds_OKcANX2UMBU9ytNFrZEeGNHHzKg64gsw&dib_tag=se&qid=1746427929&s=computers&sr=1-2970,"Lenovo Yoga C740 15.6-inch Touchscreen, 512GB SSD + 32GB Optane, 1.6GHz i5-10210U Quad-Core, 2-in-1 Laptop (8GB RAM, Fingerprint Reader, Windows 10 Home) Iron Grey, 81TD0078US"
B09CZH8KP6,4,£697.04,124,3.3,https://www.amazon.co.uk/ASUS-VivoBook-Performance-Fingerprint-Bluetooth/dp/B09CZH8KP6/ref=sr_1_2971?dib=eyJ2IjoiMSJ9.I7gdX_VjUDrWWGboC7rmkQDiOxWp-9AYYDc1-bBmatdL3JOREgvQGr1sawFFKVWC12Ipb7m5PLgouv78kuVT8GRj7tHodvaYto0Lpo1iP7bDG3SswF2tALhGYRs01sdyQKbhH6j1svoQAvkHlYmzhH2--EqBa6uuVP1LlyLpIod5GXksNOh1-OHZ7uG6ZwPTTAxICptAMBNjIsuQp5VQZtI2qF6MUV_Jfll0WgwDnRha26eZWnSzFUYD_RGl1vxCEdXhJw91Y1go7Jp_p8aJ72zPdqa6J-Rf75biEGXLT9E.oUHHLFGVds_OKcANX2UMBU9ytNFrZEeGNHHzKg64gsw&dib_tag=se&qid=1746427929&s=computers&sr=1-2971,"ASUS VivoBook 15 15.6"" FHD High Performance Laptop, AMD Ryzen 3 3250U up to 3.5GHz, 8GB DDR4, 256GB SSD, Backlit Keyboard, Fingerprint Reader, Webcam, WiFi, Bluetooth, HDMI, Windows 10, TWE Bundle"
B09CZFV2T1,1,£469.03,124,5.0,https://www.amazon.co.uk/ASUS-VivoBook-Performance-i3-1005G1-Bluetooth/dp/B09CZFV2T1/ref=sr_1_2973?dib=eyJ2IjoiMSJ9.I7gdX_VjUDrWWGboC7rmkQDiOxWp-9AYYDc1-bBmatdL3JOREgvQGr1sawFFKVWC12Ipb7m5PLgouv78kuVT8GRj7tHodvaYto0Lpo1iP7bDG3SswF2tALhGYRs01sdyQKbhH6j1svoQAvkHlYmzhH2--EqBa6uuVP1LlyLpIod5GXksNOh1-OHZ7uG6ZwPTTAxICptAMBNjIsuQp5VQZtI2qF6MUV_Jfll0WgwDnRha26eZWnSzFUYD_RGl1vxCEdXhJw91Y1go7Jp_p8aJ72zPdqa6J-Rf75biEGXLT9E.oUHHLFGVds_OKcANX2UMBU9ytNFrZEeGNHHzKg64gsw&dib_tag=se&qid=1746427929&s=computers&sr=1-2973,"ASUS VivoBook 14"" FHD High Performance Laptop, Intel i3-1005G1 up to 3.4GHz, 4GB DDR4, 128GB NVMe SSD, Webcam, WiFi, Bluetooth, HDMI, Windows 10, TWE Bundle"
B09CY97PGB,6,£847.48,124,3.8,https://www.amazon.co.uk/Acer-Fingerprint-Backlit-Windows-Accessories/dp/B09CY97PGB/ref=sr_1_2976?dib=eyJ2IjoiMSJ9.I7gdX_VjUDrWWGboC7rmkQDiOxWp-9AYYDc1-bBmatdL3JOREgvQGr1sawFFKVWC12Ipb7m5PLgouv78kuVT8GRj7tHodvaYto0Lpo1iP7bDG3SswF2tALhGYRs01sdyQKbhH6j1svoQAvkHlYmzhH2--EqBa6uuVP1LlyLpIod5GXksNOh1-OHZ7uG6ZwPTTAxICptAMBNjIsuQp5VQZtI2qF6MUV_Jfll0WgwDnRha26eZWnSzFUYD_RGl1vxCEdXhJw91Y1go7Jp_p8aJ72zPdqa6J-Rf75biEGXLT9E.oUHHLFGVds_OKcANX2UMBU9ytNFrZEeGNHHzKg64gsw&dib_tag=se&qid=1746427929&s=computers&sr=1-2976,Acer Gaming Laptop American English Keyboard
B09CWX4GQ5,3,"£2,126.06",125,1.4,https://www.amazon.co.uk/Lenovo-i7-1185G7-Anti-Glare-Touchscreen-Fingerprint/dp/B09CWX4GQ5/ref=sr_1_2977?dib=eyJ2IjoiMSJ9.nww38wcW8NEgVwONeZmoDim3E9jJpAc88jIrKOdhEmkgV8N-Je_idf8WAGZL_svzwpT0gAjz5efKTP4rc3aNQtBl6-UsNUUlwOr8Pdrq7XcZJy6GsJn_AQBRgzOZ9CFqVDjtSNICtggVoNw3e6OhSg3BQp_aQapHIkj8bEL271Ekzj63tmahi_T4M14O-NfvDufkVllfU-dovfMqdynxXab5WjPy10R9amkVYN2POjDWLSvT8jQfz8VBxdQ2RrXbDCz6X0Uv_y9G2rG72iZ4BWSFgb2wXkFRsIcLvkblchs.2kL9DQd5BDBprDxvpCaQUHQZsc3p6l4kQNImWDa3C9U&dib_tag=se&qid=1746427935&s=computers&sr=1-2977,"Lenovo ThinkPad X1 Yoga Gen 6 Intel Core i7-1185G7, 14.0"" WUXGA (1920 x 1200) IPS, Anti-Glare, Touchscreen, 400 nits 32GB RAM, 1TB SSD, Backlit KYB Fingerprint Reader, Win10 Pro"
B09CRMSHD9,5,"£1,404.55",125,3.1,https://www.amazon.co.uk/Dell-Latitude-5420-Laptop-Graphics/dp/B09CRMSHD9/ref=sr_1_2980?dib=eyJ2IjoiMSJ9.nww38wcW8NEgVwONeZmoDim3E9jJpAc88jIrKOdhEmkgV8N-Je_idf8WAGZL_svzwpT0gAjz5efKTP4rc3aNQtBl6-UsNUUlwOr8Pdrq7XcZJy6GsJn_AQBRgzOZ9CFqVDjtSNICtggVoNw3e6OhSg3BQp_aQapHIkj8bEL271Ekzj63tmahi_T4M14O-NfvDufkVllfU-dovfMqdynxXab5WjPy10R9amkVYN2POjDWLSvT8jQfz8VBxdQ2RrXbDCz6X0Uv_y9G2rG72iZ4BWSFgb2wXkFRsIcLvkblchs.2kL9DQd5BDBprDxvpCaQUHQZsc3p6l4kQNImWDa3C9U&dib_tag=se&qid=1746427935&s=computers&sr=1-2980,"Dell Latitude 5420 Laptop - 14"" FHD AG Display - 2.8 GHz Intel Core i7 1165G7 4-Core (11th Gen) - 256GB SSD - 16GB - Iris Xe Graphics - Windows 10 pro"
B09CG22JL7,61,£917.51,125,4.4,https://www.amazon.co.uk/Lenovo-IdeaPad-82KU00C2US-Touchscreen-Windows/dp/B09CG22JL7/ref=sr_1_2986?dib=eyJ2IjoiMSJ9.nww38wcW8NEgVwONeZmoDim3E9jJpAc88jIrKOdhEmkgV8N-Je_idf8WAGZL_svzwpT0gAjz5efKTP4rc3aNQtBl6-UsNUUlwOr8Pdrq7XcZJy6GsJn_AQBRgzOZ9CFqVDjtSNICtggVoNw3e6OhSg3BQp_aQapHIkj8bEL271Ekzj63tmahi_T4M14O-NfvDufkVllfU-dovfMqdynxXab5WjPy10R9amkVYN2POjDWLSvT8jQfz8VBxdQ2RrXbDCz6X0Uv_y9G2rG72iZ4BWSFgb2wXkFRsIcLvkblchs.2kL9DQd5BDBprDxvpCaQUHQZsc3p6l4kQNImWDa3C9U&dib_tag=se&qid=1746427935&s=computers&sr=1-2986,"Lenovo IdeaPad 3 82KU00C2US 15.6"" Touchscreen FHD Laptop -- AMD Ryzen 7 5700U/ 12GB Memory/ 512GB SSD/ Windows 10 Home"
